,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
53,"
 Blitzcrank",131,132,9%,64,67,49%,2.8,6.3,33:25,1.0,162,231,0.5,-88,-223
54,"
 Graves",126,126,9%,71,55,56%,4.1,4.9,32:05,6.8,392,373,11.2,160,415
55,"
 Viktor",179,73,9%,84,95,47%,3.4,8.0,34:17,8.8,601,396,1.3,-70,26
56,"
 Diana",113,125,9%,52,61,46%,2.4,6.8,32:02,8.1,442,387,-1.9,-48,73
57,"
 Bard",151,87,9%,92,59,61%,4.9,7.7,32:52,1.2,214,243,-2.2,-15,16
58,"
 Maokai",182,55,8%,85,97,47%,2.7,7.9,32:20,6.2,427,319,-13.2,-471,-215
59,"
 Taliyah",103,131,8%,49,54,48%,3.8,5.4,32:32,6.7,492,364,-0.8,155,263
60,"
 Galio",132,100,8%,69,63,52%,3.8,6.6,31:59,6.3,354,338,-9.3,-372,-131
61,"
 Kaisa",194,36,8%,82,112,42%,3.8,8.4,31:56,9.3,471,431,-1.2,-56,-15
62,"
 Morgana",119,101,8%,62,57,52%,3.7,7.9,33:38,1.7,199,248,-7.4,15,-1
63,"
 Karma",159,54,8%,67,92,42%,3.3,6.8,32:22,3.3,276,268,-6.3,-306,-208
64,"
 Wukong",83,126,7%,42,41,51%,3.2,4.8,33:02,7.1,397,373,-1.3,62,23
